일시,평균기온,최고기온,최저기온
20161214000000,-1.4,-0.1,-2.3
20161215000000,-5.0,-1.5,-7.6
20161216000000,-4.7,0.0,-9.8
20161217000000,2.7,8.0,-2.7
20161218000000,4.9,8.1,2.7
20161219000000,7.2,12.0,4.3
20161220000000,7.6,13.6,4.4
20161221000000,7.9,12.6,4.1
20161222000000,5.5,11.0,1.5
20161223000000,-2.5,1.5,-4.4
20161224000000,-2.4,1.1,-4.3
20161225000000,1.0,6.4,-4.5
20161226000000,2.5,4.4,1.3
20161227000000,-2.3,1.3,-6.3
20161228000000,-3.7,2.6,-8.4
20161229000000,-4.2,-1.1,-7.2
20161230000000,-3.9,1.0,-9.1
20161231000000,0.7,5.7,-3.6
20170101000000,2.7,6.9,-1.6
20170102000000,5.0,9.2,1.8
20170103000000,2.0,7.7,-2.3
20170104000000,3.9,8.9,1.0
20170105000000,3.8,7.3,-0.1
20170106000000,5.4,11.4,2.5
20170107000000,4.6,10.5,0.0
20170108000000,6.5,10.9,4.0
20170109000000,1.5,4.3,-3.1
20170110000000,-3.7,1.1,-7.4
20170111000000,-3.8,1.5,-9.4
20170112000000,-2.2,1.0,-6.1
20170113000000,-6.0,-1.4,-8.6
20170114000000,-8.4,-5.4,-10.5
20170115000000,-6.6,-0.9,-11.5
20170116000000,-3.8,4.0,-8.9
20170117000000,-2.0,3.4,-7.1
20170118000000,-0.5,2.8,-3.0
20170119000000,-1.2,4.7,-4.9
20170120000000,-4.4,-1.4,-7.8
20170121000000,-5.2,-0.9,-10.0
20170122000000,-8.3,-3.3,-10.9
20170123000000,-8.9,-4.1,-12.6
20170124000000,-7.0,-1.3,-11.6
20170125000000,-5.2,0.9,-10.2
20170126000000,-1.3,3.4,-7.9
20170127000000,-2.6,3.1,-5.7
20170128000000,-1.6,4.3,-8.2
20170129000000,0.8,2.5,-0.9
20170130000000,-4.8,-0.9,-7.9
20170131000000,-5.4,0.2,-9.9
20170201000000,-4.0,0.7,-7.5
20170202000000,-2.7,3.3,-9.2
20170203000000,1.5,6.7,-2.3
20170204000000,0.9,3.2,-2.9
20170205000000,1.2,2.3,-1.5
20170206000000,-1.7,2.6,-4.4
20170207000000,-2.0,3.0,-5.6
20170208000000,-2.2,0.6,-4.9
20170209000000,-5.3,-2.1,-7.1
20170210000000,-6.6,-2.5,-9.3
20170211000000,-4.8,0.8,-9.2
20170212000000,-2.2,4.2,-7.4
20170213000000,0.1,6.1,-5.4
20170214000000,0.3,6.5,-4.0
20170215000000,1.8,8.0,-3.9
20170216000000,5.5,10.3,-1.9
20170217000000,0.8,9.0,-5.2
20170218000000,-2.6,2.9,-7.0
20170219000000,2.3,5.7,-3.4
20170220000000,-1.5,5.4,-5.2
20170221000000,-0.6,6.9,-7.6
20170222000000,1.7,2.9,-0.9
20170223000000,-1.5,2.1,-4.2
20170224000000,-0.8,4.4,-5.8
20170225000000,2.6,8.4,-2.8
20170226000000,3.6,10.1,-1.5
20170227000000,3.7,10.7,-1.8
20170228000000,5.6,12.3,-1.3
20170301000000,5.0,11.4,2.0
20170302000000,1.8,6.6,-1.1
20170303000000,3.3,10.4,-3.1
20170304000000,5.7,12.7,0.1
20170305000000,5.2,10.4,1.2
20170306000000,0.1,4.0,-2.8
20170307000000,-1.3,2.9,-4.0
20170308000000,-0.1,5.0,-5.3
20170309000000,3.2,10.7,-2.7
20170310000000,4.8,12.2,-1.2
20170311000000,7.3,16.7,-0.2
20170312000000,8.2,14.0,4.4
20170313000000,6.9,12.2,1.5
20170314000000,5.8,10.9,1.0
20170315000000,6.3,13.3,0.4
20170316000000,6.2,13.4,1.0
20170317000000,7.7,15.7,1.2
20170318000000,9.5,16.1,5.9
20170319000000,10.9,18.9,3.2
20170320000000,10.2,15.5,6.0
20170321000000,7.4,12.6,4.3
20170322000000,7.6,14.1,1.9
20170323000000,9.1,15.0,5.1
20170324000000,8.7,15.2,3.9
20170325000000,8.1,12.6,5.0
20170326000000,7.3,11.6,4.8
20170327000000,6.1,10.9,4.4
20170328000000,7.1,12.7,2.5
20170329000000,8.8,14.4,4.7
20170330000000,10.6,17.1,4.1
20170331000000,8.6,12.4,4.9
20170401000000,9.0,15.1,4.8
20170402000000,9.0,15.8,3.1
20170403000000,11.4,19.2,4.3
20170404000000,14.1,21.8,6.7
20170405000000,12.0,14.2,10.8
20170406000000,10.4,12.4,9.4
20170407000000,14.5,23.5,9.0
20170408000000,13.0,19.9,8.6
20170409000000,14.8,20.5,10.6
20170410000000,16.5,23.3,10.1
20170411000000,15.3,20.2,11.5
20170412000000,11.5,16.4,8.8
20170413000000,12.7,19.6,6.3
20170414000000,13.0,17.7,10.1
20170415000000,16.8,24.3,10.9
20170416000000,18.7,24.4,12.9
20170417000000,14.7,18.0,11.2
20170418000000,11.7,17.4,9.4
20170419000000,12.6,18.4,7.0
20170420000000,12.9,18.2,9.9
20170421000000,13.1,19.3,7.6
20170422000000,14.8,22.5,8.5
20170423000000,14.9,21.7,8.9
20170424000000,15.1,21.3,8.3
20170425000000,16.0,20.4,12.9
20170426000000,15.1,20.2,10.5
20170427000000,13.6,19.8,7.9
20170428000000,14.4,21.5,8.9
20170429000000,17.1,23.7,9.6
20170430000000,19.3,27.8,13.7
20170501000000,20.1,28.3,12.8
20170502000000,20.7,28.0,15.2
20170503000000,21.5,30.2,14.5
20170504000000,21.0,27.5,14.8
20170505000000,20.9,27.0,15.5
20170506000000,14.9,19.3,10.0
20170507000000,16.6,22.8,10.9
20170508000000,17.9,23.5,11.1
20170509000000,17.1,22.6,15.3
20170510000000,16.4,20.8,14.2
20170511000000,19.3,24.8,13.1
20170512000000,19.1,21.1,16.8
20170513000000,16.4,22.6,12.4
20170514000000,15.7,20.7,11.0
20170515000000,16.0,20.1,12.3
20170516000000,17.1,22.3,13.3
20170517000000,18.6,25.9,12.3
20170518000000,20.4,26.9,13.9
20170519000000,21.1,27.9,15.1
20170520000000,20.9,27.3,15.4
20170521000000,21.5,27.6,16.0
20170522000000,21.8,28.0,15.9
20170523000000,20.0,24.4,17.2
20170524000000,21.8,27.8,16.9
20170525000000,19.2,24.4,14.4
20170526000000,17.7,23.2,12.4
20170527000000,19.5,26.4,13.7
20170528000000,21.2,27.9,14.4
20170529000000,22.9,29.3,18.1
20170530000000,23.6,30.3,18.6
20170531000000,23.3,29.6,17.7
20170601000000,23.3,27.0,20.0
20170602000000,20.5,25.6,15.5
20170603000000,20.5,26.5,16.1
20170604000000,21.7,28.1,15.1
20170605000000,24.2,30.3,16.4
20170606000000,19.4,23.9,14.5
20170607000000,17.6,19.2,15.1
20170608000000,20.1,25.9,15.1
20170609000000,21.2,25.7,17.9
20170610000000,21.5,27.5,16.7
20170611000000,22.8,29.6,14.8
20170612000000,22.1,28.0,17.0
20170613000000,21.5,25.9,18.3
20170614000000,21.8,26.8,17.8
20170615000000,23.1,29.6,18.0
20170616000000,25.5,32.7,20.0
20170617000000,24.2,29.9,20.6
20170618000000,24.3,31.8,18.6
20170619000000,24.8,30.2,19.5
20170620000000,26.0,32.7,20.0
20170621000000,25.4,31.6,21.7
20170622000000,25.3,30.4,21.2
20170623000000,26.7,34.1,21.3
20170624000000,24.5,27.8,21.5
20170625000000,23.8,28.4,21.0
20170626000000,23.1,29.9,20.1
