"		지점번호",지점명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),"	최대풍속시각",최대순간풍속(m/s),최대순간풍속풍향(deg),"	최대순간풍속시각"
"		108",서울,2020-02-28,1.4,4.2,230,10:28,8.1,250,10:20
"		108",서울,2020-02-29,1.7,4.2,270,16:58,6.4,270,14:49
"		108",서울,2020-03-01,2,4.7,270,15:29,8.3,320,22:36
"		108",서울,2020-03-02,2.7,4.9,290,4:51,9.3,290,5:26
"		108",서울,2020-03-03,2.6,4.7,320,17:47,8,270,15:47
"		108",서울,2020-03-04,3.7,6.8,270,11:18,11.7,250,11:12
"		108",서울,2020-03-05,2.5,4.1,270,14:01,7.6,200,12:58
"		108",서울,2020-03-06,1.6,3.6,200,14:54,6,180,14:52
"		108",서울,2020-03-07,2,4.1,270,16:24,6.3,290,17:48
"		108",서울,2020-03-08,1.6,4.6,270,17:54,7,270,17:40
"		108",서울,2020-03-09,1.8,4.5,320,19:42,7.3,320,20:53
"		108",서울,2020-03-10,2.8,5.3,290,18:41,8.7,290,18:40
"		108",서울,2020-03-11,3.3,5.5,320,9:56,9.6,290,10:06
"		108",서울,2020-03-12,2.5,5.4,230,16:24,10.2,290,16:32
"		108",서울,2020-03-13,3.3,5.4,340,19:59,9.1,340,19:54
"		108",서울,2020-03-14,3,6.8,230,15:43,11.9,230,14:00
"		108",서울,2020-03-15,3.6,7.8,320,15:07,14.4,270,15:33
"		108",서울,2020-03-16,2.8,5.2,250,16:34,9.8,200,17:11
"		108",서울,2020-03-17,2.1,5.2,230,16:14,9,230,18:10
"		108",서울,2020-03-18,1.8,4.4,230,15:38,8.1,200,15:30
"		108",서울,2020-03-19,4.8,8.2,250,16:36,16.3,270,11:30
"		108",서울,2020-03-20,3.1,6.6,270,14:50,13,230,15:47
"		108",서울,2020-03-21,2,5.1,290,18:21,8.6,320,18:19
"		108",서울,2020-03-22,3,5.6,320,12:48,10.2,320,14:55
"		108",서울,2020-03-23,1.9,4.8,270,16:41,9.6,320,15:44
"		108",서울,2020-03-24,1.8,4,200,12:54,7,290,16:56
"		108",서울,2020-03-25,1.9,5.3,320,16:32,8.3,290,15:47
"		108",서울,2020-03-26,1.9,5.3,160,17:46,7.3,180,17:43
"		108",서울,2020-03-27,3.3,5.8,320,11:29,10.3,250,16:24
"		108",서울,2020-03-28,3.2,5.5,340,6:41,10.1,360,5:58
"		108",서울,2020-03-29,2,4.6,290,17:29,7.4,270,16:38
"		108",서울,2020-03-30,1.8,4.1,270,18:01,6.8,290,13:40
"		108",서울,2020-03-31,2,4.4,290,15:21,7.4,340,14:03
"		108",서울,2020-04-01,3.7,7.3,270,14:37,11.9,290,15:20
"		108",서울,2020-04-02,2.3,5.5,270,15:33,9.8,270,15:02
"		108",서울,2020-04-03,2.7,5.7,270,16:28,9.4,290,16:11
"		108",서울,2020-04-04,3.4,6.3,290,16:57,12.8,270,16:50
"		108",서울,2020-04-05,2.8,5.4,230,16:29,9.7,200,16:38
"		108",서울,2020-04-06,2.4,5.9,270,15:16,10.2,250,15:08
"		108",서울,2020-04-07,2.5,5.1,270,15:24,8.4,200,16:39
"		108",서울,2020-04-08,3.5,5.9,340,11:24,11.2,340,12:14
"		108",서울,2020-04-09,2.8,5.7,250,17:07,10.2,250,15:29
"		108",서울,2020-04-10,2.4,4.1,290,16:19,7.5,290,15:57
"		108",서울,2020-04-11,2.5,4.9,270,18:04,8.6,230,14:44
"		108",서울,2020-04-12,3.8,7.4,90,13:33,13.4,70,13:26
"		108",서울,2020-04-13,3.1,5.5,50,15:36,9.8,90,12:44
"		108",서울,2020-04-14,2.4,5.3,270,15:01,10,250,14:37
"		108",서울,2020-04-15,2.2,5.6,290,16:45,9.2,290,15:28
"		108",서울,2020-04-16,2.3,4.5,320,18:00,8,320,17:53
"		108",서울,2020-04-17,2.4,4.8,140,8:28,9.4,160,8:20
"		108",서울,2020-04-18,2.6,4.8,270,16:56,8,290,16:36
"		108",서울,2020-04-19,2.7,5.2,90,20:37,8.6,70,20:44
"		108",서울,2020-04-20,3.3,6.8,270,16:21,14.2,270,16:26
"		108",서울,2020-04-21,4.4,8.9,290,17:39,17,230,14:35
"		108",서울,2020-04-22,4,6.4,290,13:25,12.5,290,11:45
"		108",서울,2020-04-23,3.7,7.9,250,15:35,12.9,320,12:23
"		108",서울,2020-04-24,3.9,8.2,270,13:03,16,250,13:03
"		108",서울,2020-04-25,3.9,7.8,250,10:50,15,230,10:50
"		108",서울,2020-04-26,3.2,6.5,290,17:14,10.8,290,17:30
